"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5003","0","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.4327064514160157"
"0.05","5003","10","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.4153934478759767"
"0.05","5003","20","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.3379493713378907"
"0.05","5003","30","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.411026382446289"
"0.05","5003","40","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2970565795898437"
"0.05","5003","50","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.1519588470458983"
"0.05","5003","60","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.302812194824219"
"0.05","5003","70","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.2178489685058596"
"0.05","5003","80","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.33546142578125"
"0.05","5003","90","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0584152221679686"
"0.05","5003","100","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0524559020996094"
"0.05","5003","110","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.1538124084472656"
"0.05","5003","120","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.1053611755371096"
"0.05","5003","130","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.037943649291992"
"0.05","5003","140","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0488517761230467"
"0.05","5003","150","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.025155448913574"
"0.05","5003","160","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.7336644172668456"
"0.05","5003","170","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.8426847457885742"
"0.05","5003","180","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.9028244018554688"
"0.05","5003","190","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.012668991088867"
"0.05","5003","199","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.07460355758667"
"0.05","5004","0","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.3994815826416016"
"0.05","5004","10","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.411427879333496"
"0.05","5004","20","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.3512128829956054"
"0.05","5004","30","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.4252143859863282"
"0.05","5004","40","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2855245590209963"
"0.05","5004","50","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.0797447204589843"
"0.05","5004","60","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.37105712890625"
"0.05","5004","70","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.2213623046875"
"0.05","5004","80","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.3048332214355467"
"0.05","5004","90","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1151611328125"
"0.05","5004","100","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","2.1864852905273438"
"0.05","5004","110","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","1.9877487182617188"
