"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5001","140","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.989527130126953"
"0.05","5001","150","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.860325241088867"
"0.05","5001","160","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.5967864990234375"
"0.05","5001","170","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.7651737213134764"
"0.05","5001","180","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.7538896560668946"
"0.05","5001","190","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.9699050903320314"
"0.05","5001","199","fedgcs2024_source_adapted_ogpm_eps_1","eps_1","3.9042068481445313"
"0.05","5001","0","mcglr_top2_ogpm_eps_1","eps_1","2.880006694793701"
"0.05","5001","10","mcglr_top2_ogpm_eps_1","eps_1","2.8077070236206056"
"0.05","5001","20","mcglr_top2_ogpm_eps_1","eps_1","2.627549934387207"
"0.05","5001","30","mcglr_top2_ogpm_eps_1","eps_1","2.8506444931030273"
"0.05","5001","40","mcglr_top2_ogpm_eps_1","eps_1","3.7812831878662108"
"0.05","5001","50","mcglr_top2_ogpm_eps_1","eps_1","3.6805530548095704"
"0.05","5001","60","mcglr_top2_ogpm_eps_1","eps_1","3.939593505859375"
"0.05","5001","70","mcglr_top2_ogpm_eps_1","eps_1","3.900345230102539"
"0.05","5001","80","mcglr_top2_ogpm_eps_1","eps_1","3.895623779296875"
"0.05","5001","90","mcglr_top2_ogpm_eps_1","eps_1","3.75252685546875"
"0.05","5001","100","mcglr_top2_ogpm_eps_1","eps_1","3.684944915771484"
"0.05","5001","110","mcglr_top2_ogpm_eps_1","eps_1","3.5072086334228514"
"0.05","5001","120","mcglr_top2_ogpm_eps_1","eps_1","3.6679317474365236"
"0.05","5001","130","mcglr_top2_ogpm_eps_1","eps_1","3.470830535888672"
"0.05","5001","140","mcglr_top2_ogpm_eps_1","eps_1","3.6624069213867188"
"0.05","5001","150","mcglr_top2_ogpm_eps_1","eps_1","3.490573692321777"
"0.05","5001","160","mcglr_top2_ogpm_eps_1","eps_1","3.265639305114746"
"0.05","5001","170","mcglr_top2_ogpm_eps_1","eps_1","3.3566829681396486"
"0.05","5001","180","mcglr_top2_ogpm_eps_1","eps_1","3.4754183769226072"
"0.05","5001","190","mcglr_top2_ogpm_eps_1","eps_1","3.66221923828125"
"0.05","5001","199","mcglr_top2_ogpm_eps_1","eps_1","3.65957088470459"
"0.05","5002","0","random","none","2.658990669250488"
"0.05","5002","10","random","none","2.7174551010131838"
"0.05","5002","20","random","none","2.7843713760375977"
"0.05","5002","30","random","none","2.7781908988952635"
"0.05","5002","40","random","none","3.8707147598266602"
"0.05","5002","50","random","none","3.8450016021728515"
"0.05","5002","60","random","none","3.6493239402770996"
"0.05","5002","70","random","none","3.995020294189453"
"0.05","5002","80","random","none","3.866512107849121"
"0.05","5002","90","random","none","3.732230472564697"
"0.05","5002","100","random","none","3.8228050231933595"
"0.05","5002","110","random","none","4.023410797119141"
"0.05","5002","120","random","none","3.916754722595215"
"0.05","5002","130","random","none","3.8554656982421873"
"0.05","5002","140","random","none","3.7770124435424806"
"0.05","5002","150","random","none","3.915444564819336"
"0.05","5002","160","random","none","3.6641035079956055"
"0.05","5002","170","random","none","3.8653324127197264"
"0.05","5002","180","random","none","3.7095016479492187"
"0.05","5002","190","random","none","3.679794692993164"
"0.05","5002","199","random","none","3.6234840393066405"
"0.05","5002","0","oracle","none","2.658990669250488"
"0.05","5002","10","oracle","none","2.7174551010131838"
"0.05","5002","20","oracle","none","2.7843713760375977"
"0.05","5002","30","oracle","none","2.783612060546875"
"0.05","5002","40","oracle","none","3.5861282348632812"
"0.05","5002","50","oracle","none","3.3929141998291015"
"0.05","5002","60","oracle","none","3.08221378326416"
"0.05","5002","70","oracle","none","3.314111423492432"
"0.05","5002","80","oracle","none","3.247671604156494"
"0.05","5002","90","oracle","none","3.165988826751709"
"0.05","5002","100","oracle","none","3.222903823852539"
"0.05","5002","110","oracle","none","3.2439092636108398"
"0.05","5002","120","oracle","none","3.2405924797058105"
"0.05","5002","130","oracle","none","3.1349937438964846"
"0.05","5002","140","oracle","none","3.204722785949707"
"0.05","5002","150","oracle","none","3.119655227661133"
"0.05","5002","160","oracle","none","3.1181506156921386"
"0.05","5002","170","oracle","none","3.0754985332489015"
"0.05","5002","180","oracle","none","3.013844680786133"
"0.05","5002","190","oracle","none","3.003823471069336"
"0.05","5002","199","oracle","none","3.0004615783691406"
"0.05","5002","0","poc_ogpm_eps_1","eps_1","2.658990669250488"
"0.05","5002","10","poc_ogpm_eps_1","eps_1","2.7174551010131838"
"0.05","5002","20","poc_ogpm_eps_1","eps_1","2.7843713760375977"
"0.05","5002","30","poc_ogpm_eps_1","eps_1","2.7745059967041015"
"0.05","5002","40","poc_ogpm_eps_1","eps_1","3.835664176940918"
"0.05","5002","50","poc_ogpm_eps_1","eps_1","3.8164592742919923"
"0.05","5002","60","poc_ogpm_eps_1","eps_1","3.648327350616455"
"0.05","5002","70","poc_ogpm_eps_1","eps_1","3.9804447174072264"
"0.05","5002","80","poc_ogpm_eps_1","eps_1","3.8375009536743163"
