"changed_fraction","seed","t","policy","epsilon","changed_loss"
"0.05","5005","180","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.771737670898437"
"0.05","5005","190","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.251397705078125"
"0.05","5005","199","adaptive_osmd2025_nativegrad_ogpm_eps_1","eps_1","6.012382507324219"
"0.05","5005","0","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.1028380393981934"
"0.05","5005","10","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.1907877922058105"
"0.05","5005","20","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","1.2062620162963866"
"0.05","5005","30","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","2.0713228225708007"
"0.05","5005","40","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.207209777832031"
"0.05","5005","50","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.696267700195312"
"0.05","5005","60","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.86011962890625"
"0.05","5005","70","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.411540222167969"
"0.05","5005","80","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.872659301757812"
"0.05","5005","90","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.724935913085938"
"0.05","5005","100","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.1094970703125"
"0.05","5005","110","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.242057800292969"
"0.05","5005","120","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.534864807128907"
"0.05","5005","130","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.647909545898438"
"0.05","5005","140","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.734864807128906"
"0.05","5005","150","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.794818115234375"
"0.05","5005","160","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.130326843261718"
"0.05","5005","170","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.456932830810547"
"0.05","5005","180","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","6.468670654296875"
"0.05","5005","190","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.906547546386719"
"0.05","5005","199","feroma2026_calibrated_profile_ogpm_ema_eps_1","eps_1","5.9604743957519535"
